id,participant_id,condition,mental_effort_rating,url,true_classification,reaction_time_ms,human_action,human_action_result,accuracy,view_information_clicked,created_at
1,1018J,1,7,https://spg.ethz.ch/group/people/doctoral-students/neele-roch.html,Non-Malicious,2578,allow,"URL allowed",1,,"2025-09-17 10:18:14.222922"
2,1018J,1,16,https://www.linkedin.com/in/johndoe123/recent-activity/,Non-Malicious,2834,allow,"URL allowed",1,,"2025-09-17 10:18:20.639322"
3,1018J,1,16,https://microsoft-security-alert-urgent.ml/support/remote-access/fix-now,Malicious,3180,block,"URL blocked",1,,"2025-09-17 10:18:27.982534"
4,1018J,1,42,https://discount-electronics-store.net/shop/electronics/phones/smartphones/prizes,Non-Malicious,7313,allow,"URL allowed",1,,"2025-09-17 10:18:38.161357"
5,1018J,1,41,https://chase-bank-security-update-required.ga/online-banking/login/verify,Malicious,12732,block,"URL blocked",1,,"2025-09-17 10:18:57.573073"
6,1018J,1,8,https://www.bbc.com/news/technology/2024/01/15/artificial-intelligence-breakthrough,Non-Malicious,3408,allow,"URL allowed",1,,"2025-09-17 10:19:03.837594"
7,1018J,1,3,https://free-gift-card-claim-now.xyz/secure-verification/account-update,Malicious,2967,block,"URL blocked",1,,"2025-09-17 10:19:10.298693"
8,1018J,1,2,https://euro-millions-winner-claim-prize.gq/verify-identity/collect-now,Malicious,2698,block,"URL blocked",1,,"2025-09-17 10:19:15.956928"
9,1018J,1,7,https://www.usa.gov/visas-and-immigration,Non-Malicious,2726,allow,"URL allowed",1,,"2025-09-17 10:19:21.687284"
10,1018J,1,49,https://shop.amazon.com/dp/B08N5WRWNW/ref=sr_1_1,Non-Malicious,9838,allow,"URL allowed",1,,"2025-09-17 10:19:35.238288"
11,1018J,1,33,https://instagram-account-verification-urgent.tk/verify/identity/restore-access,Malicious,3712,block,"URL blocked",1,,"2025-09-17 10:19:43.522873"
12,1018J,1,39,"https://secure-banking-login-verification.com/аccount/security/updаte",Malicious,7825,allow,"URL allowed",0,,"2025-09-17 10:19:54.281406"
13,1018J,1,4,https://secure-paypal-verification-urgent.tk/account/security/update-now,Malicious,2756,block,"URL blocked",1,,"2025-09-17 10:20:00.105538"
14,1018J,1,56,https://web.mit.edu/18.06/www/Spring17/Spring17.html,Non-Malicious,12443,block,"URL blocked",0,,"2025-09-17 10:20:15.734914"
15,1018J,1,58,https://bitcoin-double-investment-now.cf/secure-wallet/claim-rewards,Malicious,6480,block,"URL blocked",1,,"2025-09-17 10:20:27.354920"
16,1020J,2,4,https://spg.ethz.ch/group/people/doctoral-students/neele-roch.html,Non-Malicious,6537,allow,"URL allowed",1,,"2025-09-17 10:20:46.304483"
17,1020J,2,4,https://www.linkedin.com/in/johndoe123/recent-activity/,Non-Malicious,7260,allow,"URL allowed",1,,"2025-09-17 10:20:56.584514"
18,1020J,2,56,https://microsoft-security-alert-urgent.ml/support/remote-access/fix-now,Malicious,23190,block,"URL blocked",1,,"2025-09-17 10:21:23.609361"
19,1020J,2,45,https://discount-electronics-store.net/shop/electronics/phones/smartphones/prizes,Non-Malicious,10181,allow,"URL allowed",1,,"2025-09-17 10:21:37.529947"
20,1020J,2,67,https://chase-bank-security-update-required.ga/online-banking/login/verify,Malicious,22328,allow,"URL allowed",0,,"2025-09-17 10:22:05.270644"
21,1020J,2,19,https://www.bbc.com/news/technology/2024/01/15/artificial-intelligence-breakthrough,Non-Malicious,5001,allow,"URL allowed",1,,"2025-09-17 10:22:14.546178"
22,1020J,2,11,https://free-gift-card-claim-now.xyz/secure-verification/account-update,Malicious,3979,block,"URL blocked",1,,"2025-09-17 10:22:22.005633"
23,1020J,2,31,https://euro-millions-winner-claim-prize.gq/verify-identity/collect-now,Malicious,13504,block,"URL blocked",1,,"2025-09-17 10:22:38.298474"
24,1020J,2,23,https://www.usa.gov/visas-and-immigration,Non-Malicious,7414,allow,"URL allowed",1,,"2025-09-17 10:22:51.163281"
25,1020J,2,54,https://shop.amazon.com/dp/B08N5WRWNW/ref=sr_1_1,Non-Malicious,21820,allow,"URL allowed",1,,"2025-09-17 10:23:17.253462"
26,1020J,2,21,https://instagram-account-verification-urgent.tk/verify/identity/restore-access,Malicious,3741,block,"URL blocked",1,,"2025-09-17 10:23:26.275323"
27,1020J,2,29,"https://secure-banking-login-verification.com/аccount/security/updаte",Malicious,7039,block,"URL blocked",1,,"2025-09-17 10:23:36.708843"
28,1020J,2,42,https://secure-paypal-verification-urgent.tk/account/security/update-now,Malicious,6145,block,"URL blocked",1,,"2025-09-17 10:23:49.227384"
