id,participant_id,condition,mental_effort_rating,url,true_classification,reaction_time_ms,human_action,human_action_result,accuracy,view_information_clicked,conditions_seen,condition_times,adaptable,freeze_probe_answer,created_at
1,1518C,1,10,https://spg.ethz.ch/group/people/doctoral-students/neele-roch.html,Non-Malicious,6055,allow,"URL allowed",1,,[1],[6054],1,,"2025-09-19 15:19:40.835923"
2,1518C,2,100,https://www.linkedin.com/in/johndoe123/recent-activity/,Non-Malicious,142809,allow,"URL allowed",1,,"[1,2]","[7369,135440]",1,,"2025-09-19 15:22:29.684481"
3,1518C,3,90,https://microsoft-security-alert-urgent.ml/support/remote-access/fix-now,Malicious,128945,block,"URL blocked",1,,"[2,1,2,3]","[59476,1926,1643,65898]",1,,"2025-09-19 15:25:27.466831"
4,1518C,3,50,https://discount-electronics-store.net/shop/electronics/phones/smartphones/prizes,Non-Malicious,56427,allow,"URL allowed",1,,[3],[56426],1,,"2025-09-19 15:26:37.368768"
5,1518C,3,30,https://chase-bank-security-update-required.ga/online-banking/login/verify,Malicious,81180,block,"URL blocked",1,,[3],[81180],1,,"2025-09-19 15:28:34.223093"
6,1518C,3,0,https://www.bbc.com/news/technology/2024/01/15/artificial-intelligence-breakthrough,Non-Malicious,29095,allow,"URL allowed",1,,[3],[29093],1,13,"2025-09-19 15:29:10.987979"
7,1518C,3,0,https://free-gift-card-claim-now.xyz/secure-verification/account-update,Malicious,33089,block,"URL blocked",1,,[3],[33089],1,nix,"2025-09-19 15:29:50.133382"
8,1518C,4,30,https://euro-millions-winner-claim-prize.gq/verify-identity/collect-now,Malicious,121667,confirm,"URL blocked",1,1,"[3,4]","[33041,88624]",1,nix,"2025-09-19 15:32:01.795263"
9,1518C,6,0,https://www.usa.gov/visas-and-immigration,Non-Malicious,19600,none,"URL allowed",1,0,"[4,5,6]","[7244,4230,8126]",1,nix,"2025-09-19 15:32:27.579061"
10,1518C,5,30,https://shop.amazon.com/dp/B08N5WRWNW/ref=sr_1_1,Non-Malicious,35181,none,"URL allowed",1,0,"[6,5]","[31102,4078]",1,nix,"2025-09-19 15:33:09.938888"
11,1518C,3,20,https://instagram-account-verification-urgent.tk/verify/identity/restore-access,Malicious,31170,block,"URL blocked",1,,"[5,4,3]","[10758,970,19441]",1,nix,"2025-09-19 15:33:52.724108"
12,1518C,4,15,"https://secure-banking-login-verification.com/аccount/security/updаte",Malicious,14809,confirm,"URL blocked",1,0,"[3,4]","[11476,3332]",1,nix,"2025-09-19 15:34:13.223009"
13,1518C,4,20,https://secure-paypal-verification-urgent.tk/account/security/update-now,Malicious,19405,confirm,"URL blocked",1,0,[4],[19405],1,nix,"2025-09-19 15:34:40.299019"
14,1518C,3,30,https://web.mit.edu/18.06/www/Spring17/Spring17.html,Non-Malicious,44436,allow,"URL allowed",1,,"[4,3]","[37873,6562]",1,"gar nix","2025-09-19 15:35:31.312310"
15,1518C,3,0,https://bitcoin-double-investment-now.cf/secure-wallet/claim-rewards,Malicious,19991,block,"URL blocked",1,,[3],[19990],1,"gar nix","2025-09-19 15:36:01.335987"
